id,description,channel,availability,price,gtin,google_product_category_path
72,Report fact space.,local,Unavailable,86,278646277711,blog
73,Another commercial relate.,local,Available,75,304209648664,main/category/search
74,Tv region serious future top.,online,Available,77,924569043477,category/tags
75,Republican now remember.,local,Unavailable,15,760498763127,app/tag
76,Product customer pressure court.,online,Unavailable,14,728022748955,wp-content/app/tag
77,Work purpose tonight see sign interest.,local,Unavailable,77,758011868311,blog
78,Center option picture nice.,local,In-Transit,98,325858047299,categories
79,Financial state purpose.,online,Available,51,460691539650,tags
80,Dog state if deal.,local,Available,77,268217317723,list/app/explore
81,Still step record note.,local,Available,49,740204696612,categories/blog
82,Wall consumer Mr.,local,Available,43,439499682610,list/category/explore
83,Suddenly fish debate military specific.,online,In-Transit,78,596955043254,app
84,Both training west bad finally rise.,local,In-Transit,43,358893255315,app/blog/app
85,Apply production meet positive.,local,Available,21,981942208490,posts/app
86,What already hard base walk.,online,Available,97,385189064903,tags/search/posts
87,Vote doctor fight international institution unit score.,online,Unavailable,17,291736735428,search
88,Bill piece truth remember five.,local,Available,52,469924450121,categories/explore/categories
89,Race drop kid score reduce.,online,Unavailable,70,854732519950,main/app
90,Agree result democratic Mrs.,local,Available,0,417114599816,blog/tags/tags
91,Describe know operation.,local,Unavailable,15,739912264048,app/blog/tag
92,Imagine which a itself rule yourself.,local,In-Transit,3,612094624472,categories/posts
93,Executive east wonder most current.,local,Available,47,195130864907,categories
94,Product suddenly campaign us win brother.,local,Available,55,131762391791,search/tag/category
95,Serve animal unit who data left.,online,Available,83,649883460523,tag
96,Meet safe believe and somebody.,online,In-Transit,38,967031234746,posts/categories
97,Sound discussion stage idea.,online,Unavailable,66,790340690549,category/categories/wp-content
98,Administration those management price federal.,local,In-Transit,88,610098007945,posts/wp-content
99,Official decision raise a.,local,Available,44,802529144219,wp-content
100,Best west safe garden officer.,online,Unavailable,58,129476545397,wp-content/category/tags
